ID,Name,Typ,Land,Am,MW
vfb20,Luca Pfeiffer,1,NA,NA,B
vfb21,Hiroki Ito,1,NA,NA,C
vfb22,Chris Fuehrich,1,NA,NA,B
vfb23,Dan Axel Zagadou,1,NA,NA,I
vfb24,Borna Sosa,1,NA,NA,G
vfb25,Lilian Egloff,1,NA,NA,A
vfb27,Alou Kuol,1,NA,NA,A
vfb28,Nikolas Nartey,1,NA,NA,A
vfb31,Gil Dias,1,NA,NA,B
vfb33,Fabian Bredlow,1,NA,NA,A
vfb34,Omer Beyaz,1,NA,NA,A
vfb36,Laurin Ulrich,1,NA,NA,A
vfb37,Antonis Aidonis,1,NA,NA,A
vfb39,Thomas Kastanaras,1,NA,NA,A
boc1,Manuel Riemann,1,NA,NA,A
boc2,Cristian Gamboa,1,NA,NA,A
boc3,Danilo Soares,1,NA,NA,A
boc4,Erhan Masovic,1,NA,NA,B
boc5,Jacek Goralski,1,NA,NA,B
boc6,Patrick Osterhage,1,NA,NA,A
boc7,Kevin Stoeger,1,NA,NA,C
boc8,Anthony Losilla,1,NA,NA,A
boc9,Simon Zoller,1,NA,NA,B
boc10,Philipp Foerster,1,NA,NA,B
boc11,Takuma Asano,1,NA,NA,B
boc16,Konstantinos Stafylidis,1,NA,NA,B
boc17,Gerrit Holtmann,1,NA,NA,B
boc18,Jordi Osei Tutu,1,NA,NA,A
boc20,Ivan Ordets,1,NA,NA,B
boc21,Michael Esser,1,NA,NA,A
boc22,Christopher Antwi Adjei,1,NA,NA,A
boc23,Saidy Janko,1,NA,NA,B
boc24,Vasilios Lampropoulos,1,NA,NA,A
boc28,Pierre Kunde,1,NA,NA,D
boc29,Moritz Broschinski,1,NA,NA,A
boc30,Dominique Heintz,1,NA,NA,D
boc31,Keven Schlotterbeck,1,NA,NA,D
boc33,Philipp Hofmann,1,NA,NA,B
boc35,Silvere Ganvoula,1,NA,NA,B
gel1,Ralf Faehrmann,1,NA,NA,E
gel2,Thomas Ouwejan,1,NA,NA,B
gel3,Leo Greiml,1,NA,NA,B
gel4,Maya Yoshida,1,NA,NA,C
gel5,Sepp van den Berg,1,NA,NA,C
gel6,Tom Krauß,1,NA,NA,C
gel8,Danny Latza,1,NA,NA,C
gel9,Simon Terodde,1,NA,NA,B
gel10,Rodrigo Zalazar,1,NA,NA,B
gel11,Marius Buelter,1,NA,NA,B
gel13,Alexander Schwolow,1,NA,NA,D
gel15,Timothee Kolodziejczak,1,NA,NA,C
gel18,Jere Uronen,1,NA,NA,B
gel19,Ken Karaman,1,NA,NA,B
gel20,Tim Skarke,1,NA,NA,A
gel21,Niklas Tauer,1,NA,NA,A
gel23,Mehmet Aydin,1,NA,NA,B
gel24,Dominick Drexler,1,NA,NA,B
gel25,Moritz Jenz,1,NA,NA,B
gel26,Michael Frey,1,NA,NA,C
gel27,Cedric Brunner,1,NA,NA,B
gel29,Tobias Mohr,1,NA,NA,A
gel30,Alex Kral,1,NA,NA,D
gel33,Eder Balanta,1,NA,NA,C
gel34,Michael Langer,1,NA,NA,A
gel35,Marcin Kaminski,1,NA,NA,B
gel37,Andreas Ivan,1,NA,NA,A
gel38,Siochiro Kozuki,1,NA,NA,A
gel40,Sebastian Polter,1,NA,NA,A
gel41,Henning Matriciani,1,NA,NA,A
bl,Bundesliga,3,GER,0,NA
vfb,VfB Stuttgart,2,GER,0,NA
boc,VfL Bochum,2,GER,0,NA
gel,FC Schalke 04,2,GER,0,NA
svw,SV Werder Bremen,2,GER,0,NA
bsc,Hertha BSC Berlin,2,GER,0,NA
koe,1. FC Koeln,2,GER,0,NA
fca,FC Augsburg,2,GER,0,NA
fsv,1. FSV Mainz 05,2,GER,0,NA
fcu,1. FC Union Berlin,2,GER,0,NA
tsg,TSG 1899 Hoffenheim,2,GER,0,NA
scf,SC Freiburg,2,GER,0,NA
wob,VfL Wolfsburg,2,GER,0,NA
bmg,Borussia Moenchengladbach,2,GER,0,NA
sge,SG Eintracht Frankfurt,2,GER,0,NA
lev,Bayer 04 Leverkusen,2,GER,0,NA
rbl,Red Bull Leipzig,2,GER,0,NA
